Player,"Salary"
Gareth Bale,"31,200,000"
Kevin De Bruyne,"20,800,000"
David De Gea,"19,500,000"
Raheem Sterling,"15,600,000"
N'Golo Kante,"15,080,000"
Paul Pogba,"15,080,000"
Timo Werner,"14,144,000"
Pierre-Emerick Aubameyang,"13,000,000"
Edinson Cavani,"13,000,000"
Anthony Martial,"13,000,000"
Sergio Aguero,"11,967,000"
Thomas Partey,"10,400,000"
Thiago Alcántara do Nascimento,"10,400,000"
Mohamed Salah,"10,400,000"
Marcus Rashford,"10,400,000"
Harry Kane,"10,400,000"
Tanguy Ndombele,"10,400,000"
Willian da Silva,"10,000,000"
Ben Chilwell,"9,880,000"
Alexandre Lacazette,"9,466,673"
Roberto Firmino,"9,360,000"
Virgil Van Dijk,"8,580,000"
Harry Maguire,"8,464,286"
Juan Mata,"8,320,000"
Kepa Arrizabalaga,"8,060,000"
Bruno Fernandes,"8,022,857"
César Azpilicueta,"7,800,000"
Kai Havertz,"7,800,000"
Mateo Kovacic,"7,800,000"
Fernandinho Luis Roza,"7,800,000"
Bernardo Silva,"7,800,000"
Nicolas Pepe,"7,280,000"
Jamie Vardy,"7,280,000"
Jordan Henderson,"7,280,000"
James Milner,"7,280,000"
Ilkay Gundogan,"7,280,000"
Heung-Min Son,"7,280,000"
Christian Pulisic,"7,150,000"
Wilfried Zaha,"6,760,000"
Kasper Schmeichel,"6,760,000"
David Luiz,"6,535,000"
Rodrigo Hernández Cascante,"6,300,000"
Jack Grealish,"6,240,000"
Callum Hudson-Odoi,"6,240,000"
Christian Benteke,"6,240,000"
Bernard Anicio Caldeira Duarte,"6,240,000"
Yerry Mina,"6,240,000"
Naby Keita,"6,240,000"
Alex Oxlade-Chamberlain,"6,240,000"
Aymeric Laporte,"6,240,000"
Riyad Mahrez,"6,240,000"
Luke Shaw,"6,240,000"
Frederico de Paula Santos,"6,240,000"
Victor Lindelof,"6,240,000"
Nemanja Matic,"6,240,000"
Donny van de Beek,"6,240,000"
Leander Dendoncker,"6,240,000"
Lucas Digne,"6,188,000"
Ruben Dias,"6,000,000"
Sebastien Haller,"6,000,000"
Conor Townsend,"5,980,000"
Andriy Yarmolenko,"5,980,000"
Andre Gomes,"5,835,000"
Hector Bellerin,"5,720,000"
Jorge Luiz Frello Filho,"5,720,000"
Olivier Giroud,"5,720,000"
James Maddison,"5,720,000"
Kyle Walker,"5,720,000"
Thiago Silva,"5,460,000"
Pierre-Emile Hojbjerg,"5,300,000"
Jordan Pickford,"5,208,333"
Sead Kolasinac,"5,200,000"
Bernd Leno,"5,200,000"
Granit Xhaka,"5,200,000"
Marcos Alonso,"5,200,000"
Antonio Rudiger,"5,200,000"
Hakim Ziyech,"5,200,000"
Mamadou Sakho,"5,200,000"
Gylfi Sigurdsson,"5,200,000"
Sadio Mane,"5,200,000"
Fabinho Tavares,"5,200,000"
John Stones,"5,200,000"
Dean Henderson,"5,200,000"
Dele Alli,"5,200,000"
Hugo Lloris,"5,200,000"
Rui Patricio,"5,200,000"
Jared Bowen,"5,000,000"
Cengiz Ünder,"4,900,000"
Alex Telles,"4,840,000"
Nathan Ake,"4,800,000"
Ross Barkley ,"4,766,667"
Adam Lallana,"4,700,000"
Diogo Jota,"4,700,000"
Gabriel Martinelli,"4,680,000"
Michy Batshuayi ,"4,680,000"
Richarlison de Andrade,"4,680,000"
James Rodriguez,"4,680,000"
Alisson Becker,"4,680,000"
Georginio Wijnaldum,"4,680,000"
Gabriel Jesus,"4,680,000"
Benjamin Mendy,"4,680,000"
Aaron Wan-Bissaka,"4,680,000"
Mason Mount,"4,600,000"
Dennis Praet,"4,500,000"
Joelinton Cassio Apolinário de Lira,"4,500,000"
Pablo Marí,"4,420,000"
Kieran Tierney,"4,200,000"
Nathaniel Clyne,"4,200,000"
Tyrone Mings,"4,160,000"
Andreas Christensen,"4,160,000"
Fabian Delph,"4,160,000"
Xherdan Shaqiri,"4,160,000"
Joao Cancelo,"4,160,000"
Eric Bailly,"4,160,000"
Saido Berahino,"4,160,000"
Erik Lamela,"4,160,000"
Lucas Moura,"4,160,000"
Moussa Sissoko,"4,160,000"
Fabio Silva,"4,160,000"
Ben Godfrey,"4,000,000"
Nelson Semedo,"4,000,000"
Cedric Soares,"3,900,000"
Ollie Watkins,"3,900,000"
Abdoulaye Doucouré,"3,900,000"
Alphonse Areola,"3,900,000"
Onyinye Ndidi,"3,900,000"
Trent Alexander-Arnold,"3,900,000"
Joe Gomez,"3,900,000"
Takumi Minamino ,"3,900,000"
Mason Greenwood,"3,900,000"
Phil Jones,"3,900,000"
Jesse Lingard ,"3,900,000"
Andy Carroll,"3,900,000"
Danny Ings,"3,900,000"
Steven Bergwijn,"3,800,000"
Eric Dier,"3,755,200"
Asmir Begovic,"3,640,000"
Seamus Coleman,"3,640,000"
Allan Loureiro,"3,640,000"
Ricardo Pereira,"3,640,000"
Sergio Romero,"3,640,000"
Jonjo Shelvey,"3,640,000"
Ryan Bertrand,"3,640,000"
Fraser Forster,"3,640,000"
Kevin Wimmer,"3,640,000"
Serge Aurier,"3,640,000"
Giovani Lo Celso,"3,640,000"
Andre Gray,"3,640,000"
Michail Antonio,"3,640,000"
Manuel Lanzini,"3,640,000"
Angelo Ogbonna,"3,640,000"
Emerson Palmieri,"3,510,000"
Pablo Fornals,"3,500,000"
Tomas Soucek,"3,500,000"
Willy Boly,"3,500,000"
Andre-Frank Zambo Anguissa,"3,484,000"
Issa Diop,"3,484,000"
Matt Doherty,"3,400,000"
Matty Cash,"3,380,000"
Gary Cahill,"3,380,000"
Cheikhou Kouyate,"3,380,000"
Jean-Philippe Gbamin,"3,380,000"
Michael Keane,"3,380,000"
Kenny Tete,"3,380,000"
Ozan Kabak,"3,380,000"
Ederson Moraes,"3,380,000"
Brandon Williams,"3,380,000"
Mario Lemina ,"3,380,000"
Davinson Sanchez,"3,380,000"
Troy Deeney,"3,380,000"
Lukasz Fabianski,"3,380,000"
Nathaniel Phillips,"3,360,000"
Raphael Belloli,"3,302,000"
Timothy Castagne,"3,276,000"
Ismaila Sarr,"3,276,000"
Scott Dann,"3,120,000"
Connor Wickham,"3,120,000"
Tosin Adarabioyo,"3,120,000"
Ola Aina,"3,120,000"
Ivan Cavaleiro,"3,120,000"
Aleksandar Mitrovic,"3,120,000"
Antonee Robinson,"3,120,000"
Joshua Onomah,"3,120,000"
Kelechi Iheanacho,"3,120,000"
Wes Morgan,"3,120,000"
Ben Davies,"3,120,000"
Divock Origi,"3,120,000"
Konstantinos Tsimikas,"3,120,000"
Shane Long ,"3,120,000"
Nathan Redmond,"3,120,000"
Jannik Vestergaard,"3,120,000"
Bruno Martins Indi,"3,120,000"
Ben Davies,"3,120,000"
Danny Rose,"3,120,000"
Daniel Podence,"3,120,000"
Reece James,"3,016,000"
Tammy Abraham,"3,000,000"
Rodrigo Machado,"3,000,000"
Emil Krafth,"3,000,000"
Jeffrey Schlupp,"2,912,000"
Bjorn Engels,"2,860,000"
Ben Mee,"2,860,000"
James McArthur,"2,860,000"
Luka Milivojevic,"2,860,000"
Andros Townsend,"2,860,000"
Patrick Van Aanholt,"2,860,000"
Niels Nkounkou,"2,860,000"
Nampalys Mendy,"2,860,000"
Ibrahima Diallo,"2,860,000"
Moussa Djenepo,"2,860,000"
Ryan Shawcross,"2,860,000"
Kieran Gibbs,"2,860,000"
Ruben Loftus-Cheek ,"2,808,000"
Mohamed Elneny,"2,730,000"
Rob Holding,"2,704,000"
Edouard Mendy,"2,704,000"
Dani Ceballos,"2,700,000"
Joe Hart,"2,700,000"
Jefferson Lerma,"2,600,000"
Calum Chambers,"2,600,000"
Gabriel Magalhães,"2,600,000"
Reiss Nelson,"2,600,000"
Pascal Gross,"2,600,000"
Alireza Jahanbakhsh,"2,600,000"
Neal Maupay,"2,600,000"
Adam Webster,"2,600,000"
Danny Welbeck,"2,600,000"
James Tarkowski,"2,600,000"
Chris Wood,"2,600,000"
James McCarthy,"2,600,000"
James Tomkins,"2,600,000"
Alex Iwobi,"2,600,000"
Michael Hector,"2,600,000"
Christian Fuchs,"2,600,000"
Andrew Robertson,"2,600,000"
Adrian San Miguel del Castillo,"2,600,000"
Axel Tuanzebe,"2,600,000"
Phil Jagielka,"2,600,000"
Alex McCarthy,"2,600,000"
Joe Allen,"2,600,000"
Giannelli Imbula,"2,600,000"
Sam Clucas,"2,600,000"
Harry Winks,"2,600,000"
Tom Cleverley,"2,600,000"
Aaron Cresswell,"2,600,000"
Mark Noble,"2,600,000"
Pedro Neto,"2,600,000"
Ruben Neves,"2,600,000"
Roque Mesa,"2,548,000"
Erik Pieters,"2,500,000"
Sergio Reguilón,"2,500,000"
Jack Stephens,"2,496,000"
Federico Fernandez,"2,459,600"
Emiliano Martinez,"2,444,000"
Robin Koch,"2,400,000"
Ferran Torres,"2,400,000"
Callum Wilson,"2,400,000"
Zack Steffen,"2,392,000"
Jake Livermore,"2,392,000"
Steve Cook,"2,340,000"
Edward Nketiah,"2,340,000"
Keinan Davis,"2,340,000"
Lewis Dunk,"2,340,000"
Jose Izquierdo,"2,340,000"
Davy Propper,"2,340,000"
Joshua King,"2,340,000"
Fabricio Agosto Ramírez,"2,340,000"
Bobby Reid,"2,340,000"
Marc Albrighton,"2,340,000"
Ayoze Perez,"2,340,000"
Caglar Soyuncu,"2,340,000"
Daniel James,"2,340,000"
Matt Ritchie,"2,340,000"
Roberto Pereyra,"2,340,000"
Sebastian Prodl,"2,340,000"
Jack Butland,"2,288,000"
James Ward-Prowse,"2,253,333"
Billy Gilmour,"2,250,000"
Adama Traore,"2,236,000"
Miguel Almiron,"2,201,000"
Harry Lewis,"2,200,000"
Tom Heaton,"2,184,000"
Ryan Fraser,"2,173,600"
