,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Sabit Abdulai\9f9e1b9c,gh GHA,MF,Getafe,21,1999,3,0,60,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,28,1991,30,26,2330,25.9,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,2.8,4.0,0.04,0.11,0.15,0.04,0.15,Matches
3,Bobby Adekanye\3ed84b2c,nl NED,FWMF,Cádiz,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.43,0.00,0.43,0.43,0.43,Matches
4,Martin Agirregabiria\355c883a,es ESP,DFMF,Alavés,24,1996,26,16,1558,17.3,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches
5,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,24,1995,25,14,1289,14.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,1.4,0.06,0.04,0.10,0.06,0.10,Matches
6,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,27,1993,13,10,865,9.6,1,0,1,0,0,3,1,0.10,0.00,0.10,0.10,0.10,0.4,0.4,0.3,0.6,0.04,0.03,0.07,0.04,0.07,Matches
7,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,22,1997,10,4,378,4.2,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.08,0.08,0.00,0.08,Matches
8,Jony Álamo\788be7f9,es ESP,MF,Elche,18,2001,1,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
9,Jordi Alba\4601e194,es ESP,DF,Barcelona,31,1989,35,34,3025,33.6,3,5,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,9.8,0.07,0.22,0.29,0.07,0.29,Matches
10,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,34,1985,35,35,3115,34.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.0,1.6,0.02,0.03,0.05,0.02,0.05,Matches
11,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,26,1993,27,19,1544,17.2,6,4,5,1,2,0,0,0.35,0.23,0.58,0.29,0.52,8.3,6.7,3.2,9.9,0.48,0.19,0.67,0.39,0.58,Matches
