,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Sabit Abdulai\9f9e1b9c,gh GHA,MF,Getafe,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,28,1991,25.9,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0,Matches
3,Bobby Adekanye\3ed84b2c,nl NED,FWMF,Cádiz,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Martin Agirregabiria\355c883a,es ESP,DFMF,Alavés,24,1996,17.3,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0,Matches
5,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0,Matches
6,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,27,1993,9.6,5,0.52,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,22,1997,4.2,5,1.19,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
8,Jony Álamo\788be7f9,es ESP,MF,Elche,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,Matches
9,Jordi Alba\4601e194,es ESP,DF,Barcelona,31,1989,33.6,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0,Matches
10,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,34,1985,34.6,14,0.40,14,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
11,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,26,1993,17.2,28,1.63,21,1,2,3,1,0,9,0.52,6,0,1,2,0,0,Matches
12,Pedro Alcalá\ba71d071,es ESP,DF,Cádiz,31,1989,10.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,29,1991,24.1,22,0.91,20,0,0,2,0,0,2,0.08,2,0,0,0,0,0,Matches
14,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,25,1995,9.2,20,2.18,16,1,1,1,1,0,2,0.22,1,0,0,1,0,0,Matches
